ID,WCAG SC,Level,Task,"Main Role","Starter List","Primary Ownership","Secondary Ownership",Contributor
ANM-032,2.2.6,AAA,Users are warned that more than 20 hours of inactivity could lead to data loss.,Design,,"User Experience (UX) Design","Content Authoring",none
ANM-033,2.3.1,A,"Content on the screen does not flash or blink more than three times in any one-second period, or the flash is below the general flash and red flash thresholds.",Design,,"Visual Design",none,none
ANM-034,2.3.2,AAA,"Content on the screen does not flash or blink at a rate that is higher than three times in any one-second period.",Design,,"Visual Design",none,none
ANM-035,2.3.3,AAA,"Animation features that create the illusion of movement are defined so that users can disable them.",Design,,"User Experience (UX) Design",Front-End Developement,none
ANM-036,2.3.3,AAA,"Animation features that create the illusion of movement support prefers-reduced-motion (or other equivalent means).",Development,,Front-End Development,"User Experience (UX) Design",none
ANM-037,4.1.2,A,"Information conveyed by multimedia player controls are programmatically announced through assistive technologies.",Development,,Front-End Development,"User Experience (UX) Design",none
SCT-001,1.1.1,A,"Emoticons, emojis, ASCII art, and other non-markup language constructs are supported with equivalent text alternatives and conveyed to assistive technologies.",Design,,"User Experience (UX) Design","Content Authoring",Front-End Development
SCT-002,1.3.1,A,"Emoticons, emojis, ASCII art, and other non-markup language constructs are not used as the only way to structure content or convey information.",Design,,"User Experience (UX) Design","Front-End Development",none
SCT-003,1.3.1,A,"Proper markup is used to render emphasized, bolded text and other stylistic or presentational effects.",Development,,"Front-End Development",none,none
SCT-004,1.3.1,A,"Proper markup is used to structure quotes, blockquotes and citations.",Development,,"Front-End Development","Content Authoring",none
SCT-005,1.3.1,A,"Heading markup is only used for text which acts as a section heading.",Development,,"Front-End Development","User Experience (UX) Design",none
SCT-006,1.3.1,A,"Heading markup is not used for formatting effects.",Development,,"Front-End Development",none,none
SCT-007,1.3.1,A,"The headings used in a page provide a logical outline for the document.",Author,x,"Content Authoring","User Experience (UX) Design",none
SCT-008,1.3.2,A,"The intended reading order of the content remains logical when CSS and images are turned off.",Development,,"Front-End Development",User Experience (UX) Design,none
SCT-009,1.3.2,A,"The source code order reflects the intended reading order of the document.",Development,,"Front-End Development","User Experience (UX) Design",none
SCT-010,1.3.3,A,"Site supports internationalization with multiple languages, including right-to-left languages.",Business,,"Business Analysis","User Experience (UX) Design","Content Authoring
Visual Design"
SCT-011,1.3.3,A,"Text direction is properly marked up as such, especially for right-to-left languages.",Development,,"Front-End Development",none,none
SCT-012,1.3.3,A,Objects that rely on shape to be properly perceived are supported with additional text information.,Design,,"User Experience (UX) Design","Visual Design",Content Authoring
SCT-013,1.3.3,A,Objects that rely on size to be properly perceived are supported with additional text information.,Design,,"User Experience (UX) Design","Visual Design",Content Authoring
SCT-014,1.3.3,A,Objects that rely on visual location to be properly perceived are supported with additional text information.,Design,,"User Experience (UX) Design","Visual Design",Content Authoring
SCT-015,1.3.3,A,Objects that rely on orientation to be properly perceived are supported with additional text information.,Design,,"User Experience (UX) Design","Visual Design",Content Authoring
SCT-016,1.3.3,A,Objects that rely on sound to be properly perceived are supported with additional text information.,Design,,"User Experience (UX) Design","Content Authoring",none
SCT-017,1.4.5,AA,Mathematical formulas are marked up using MathML.,Development,,"Front-End Development","Content Authoring",none
SCT-018,1.4.8,AAA,Text content in design assets such as content blocks is left-aligned in left-to-right languages.,Design,,"Visual Design","User Experience (UX) Design",none
SCT-019,1.4.8,AAA,Fully justified text can easily be changed to ragged right text with a simple action.,Design,,"User Experience (UX) Design","Front-End Development",none
SCT-020,3.1.1,A,The primary language used in the document is properly identified using the lang attribute.,Development,,"Front-End Development",none,none
SCT-021,3.1.1,A,The language definition of the document uses the correct value for language and locale.,Author,,"Content Authoring",none,none
SCT-022,3.1.2,AA,Content passages that differ from the default are identified with the correct value for language and locale.,Author,,"Content Authoring","Front-End Development",none
SCT-023,3.1.3,AAA,"Unusual words, phrases, and abbreviations are organized into a glossary.",Design,,"User Experience (UX) Design","Content Authoring",none
SCT-024,3.1.3,AAA,Unusual words found in the content are linked to their definitions in a glossary.,Design,,"User Experience (UX) Design","Content Authoring",none
SCT-025,3.1.4,AAA,Abbreviations are programmatically associated with their definition.,Development,,"Front-End Development",none,none
SCT-026,3.1.5,AAA,"Content is written in plain language using everyday words, to help users with different literacy levels and access needs.",Author,x,"Content Authoring",none,none
SCT-027,3.1.5,AAA,"Ideas conveyed through text are supported with illustrations or other visuals.",Design,,"Visual Design","User Experience (UX) Design 
Content Authoring",none
SCT-028,3.1.5,AAA,"Content is displayed and structured in a way that makes it easier to read.",Design,,"User Experience (UX) Design","Visual Design",none
SCT-029,3.1.6,AAA,"Ambiguous words are supported by a mechanism that helps users identify their specific pronunciation.",Design,,"User Experience (UX) Design","Front-End Development",Content Authoring
DYN-001,4.1.3,AA,Information conveyed by multimedia player controls are programmatically announced through assistive technologies.,Development,,"Front-End Development","User Experience (UX) Design",none
DYN-002,4.1.3,AA,Status messages are announced by assistive technologies without affecting the focus.,Design,x,"User Experience (UX) Design","Front-End Development",none
DYN-003,4.1.3,AA,"Status, toast, or similar messages are programmatically determined through WAI-ARIA roles or properties, so they can be presented to assistive technology users without receiving focus.",Development,x,"Front-End Development","User Experience (UX) Design",none
